game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900679,1/24/20,10:30 PM,IND,GSW,Indiana Pacers,Golden State Warriors,11,1,ind,gsw
game_0021900680,1/25/20,5:00 PM,DAL,UTA,Dallas Mavericks,Utah Jazz,1,1,dal,uth
game_0021900681,1/25/20,7:00 PM,BKN,DET,Brooklyn Nets,Detroit Pistons,2,1,bkn,det
game_0021900682,1/25/20,8:00 PM,CHI,CLE,Chicago Bulls,Cleveland Cavaliers,3,1,chi,cle
game_0021900683,1/25/20,8:00 PM,OKC,MIN,Oklahoma City Thunder,Minnesota Timberwolves,4,2,okc,min
game_0021900684,1/25/20,8:30 PM,LAL,PHI,Los Angeles Lakers,Philadelphia 76ers,5,1,lal,phi
game_0021900685,1/26/20,3:30 PM,HOU,DEN,Houston Rockets,Denver Nuggets,1,1,hou,den
game_0021900686,1/26/20,4:00 PM,TOR,SAS,Toronto Raptors,San Antonio Spurs,2,1,tor,sas
game_0021900688,1/26/20,6:00 PM,BKN,NYK,Brooklyn Nets,New York Knicks,3,1,bkn,nyk
game_0021900691,1/26/20,6:00 PM,BOS,NOP,Boston Celtics,New Orleans Pelicans,4,2,bos,no
game_0021900689,1/26/20,6:00 PM,LAC,ORL,LA Clippers,Orlando Magic,5,3,lac,orl
game_0021900690,1/26/20,6:00 PM,PHX,MEM,Phoenix Suns,Memphis Grizzlies,6,4,phx,mem
game_0021900687,1/26/20,6:00 PM,WAS,ATL,Washington Wizards,Atlanta Hawks,7,5,was,atl
game_0021900692,1/26/20,9:00 PM,IND,POR,Indiana Pacers,Portland Trail Blazers,8,1,ind,por
game_0021900693,1/27/20,7:00 PM,CLE,DET,Cleveland Cavaliers,Detroit Pistons,1,1,cle,det
game_0021900694,1/27/20,7:30 PM,ORL,MIA,Orlando Magic,Miami Heat,2,1,orl,mia
game_0021900697,1/27/20,8:00 PM,DAL,OKC,Dallas Mavericks,Oklahoma City Thunder,3,1,dal,okc
game_0021900696,1/27/20,8:00 PM,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,4,2,sac,min
game_0021900695,1/27/20,8:00 PM,SAS,CHI,San Antonio Spurs,Chicago Bulls,5,3,sas,chi
game_0021900698,1/27/20,9:00 PM,HOU,UTA,Houston Rockets,Utah Jazz,6,1,hou,uth
game_0021900699,1/28/20,7:00 PM,NYK,CHA,New York Knicks,Charlotte Hornets,1,1,nyk,cha
game_0021900703,1/28/20,7:30 PM,ATL,TOR,Atlanta Hawks,Toronto Raptors,2,1,atl,tor
game_0021900701,1/28/20,7:30 PM,BOS,MIA,Boston Celtics,Miami Heat,3,2,bos,mia
game_0021900702,1/28/20,7:30 PM,GSW,PHI,Golden State Warriors,Philadelphia 76ers,4,3,gsw,phi
game_0021900700,1/28/20,7:30 PM,NOP,CLE,New Orleans Pelicans,Cleveland Cavaliers,5,4,no,cle
game_0021900704,1/28/20,8:00 PM,DEN,MEM,Denver Nuggets,Memphis Grizzlies,6,1,den,mem
game_0021900705,1/28/20,8:00 PM,WAS,MIL,Washington Wizards,Milwaukee Bucks,7,2,was,mil
game_0021900706,1/28/20,8:30 PM,PHX,DAL,Phoenix Suns,Dallas Mavericks,8,1,phx,dal
